"","gu","day","value"
"1","강남구",2010-01-01,9
"2","강남구",2010-01-02,10
"3","강남구",2010-01-03,4
"4","강남구",2010-01-04,3
"5","강남구",2010-01-05,2
"6","강남구",2010-01-06,7
"7","강남구",2010-01-07,8
"8","강남구",2010-01-08,15
"9","강남구",2010-01-09,9
"10","강남구",2010-01-10,4
"11","강남구",2010-01-11,14
"12","강남구",2010-01-12,13
"13","강남구",2010-01-13,7
"14","강남구",2010-01-14,10
"15","강남구",2010-01-15,10
"16","강남구",2010-01-16,15
"17","강남구",2010-01-17,9
"18","강남구",2010-01-18,10
"19","강남구",2010-01-19,18
"20","강남구",2010-01-20,16
"21","강남구",2010-01-21,16
"22","강남구",2010-01-22,12
"23","강남구",2010-01-23,10
"24","강남구",2010-01-24,1
"25","강남구",2010-01-25,12
"26","강남구",2010-01-26,15
"27","강남구",2010-01-27,9
"28","강남구",2010-01-28,11
"29","강남구",2010-01-29,5
"30","강남구",2010-01-30,9
"31","강남구",2010-01-31,5
"32","강남구",2010-02-01,9
"33","강남구",2010-02-02,9
"34","강남구",2010-02-03,7
"35","강남구",2010-02-04,18
"36","강남구",2010-02-05,13
"37","강남구",2010-02-06,10
"38","강남구",2010-02-07,4
"39","강남구",2010-02-08,10
"40","강남구",2010-02-09,10
"41","강남구",2010-02-10,16
"42","강남구",2010-02-11,11
"43","강남구",2010-02-12,10
"44","강남구",2010-02-13,6
"45","강남구",2010-02-14,6
"46","강남구",2010-02-15,3
"47","강남구",2010-02-16,3
"48","강남구",2010-02-17,17
"49","강남구",2010-02-18,10
"50","강남구",2010-02-19,6
"51","강남구",2010-02-20,12
"52","강남구",2010-02-21,6
"53","강남구",2010-02-22,10
"54","강남구",2010-02-23,11
"55","강남구",2010-02-24,10
"56","강남구",2010-02-25,12
"57","강남구",2010-02-26,10
"58","강남구",2010-02-27,8
"59","강남구",2010-02-28,3
"60","강남구",2010-03-01,8
"61","강남구",2010-03-02,5
"62","강남구",2010-03-03,6
"63","강남구",2010-03-04,5
"64","강남구",2010-03-05,8
"65","강남구",2010-03-06,7
"66","강남구",2010-03-07,6
"67","강남구",2010-03-08,6
"68","강남구",2010-03-09,18
"69","강남구",2010-03-10,16
"70","강남구",2010-03-11,12
"71","강남구",2010-03-12,15
"72","강남구",2010-03-13,14
"73","강남구",2010-03-14,5
"74","강남구",2010-03-15,8
"75","강남구",2010-03-16,11
"76","강남구",2010-03-17,12
"77","강남구",2010-03-18,13
"78","강남구",2010-03-19,15
"79","강남구",2010-03-20,11
"80","강남구",2010-03-21,5
"81","강남구",2010-03-22,10
"82","강남구",2010-03-23,14
"83","강남구",2010-03-24,8
"84","강남구",2010-03-25,16
"85","강남구",2010-03-26,14
"86","강남구",2010-03-27,11
"87","강남구",2010-03-28,5
"88","강남구",2010-03-29,10
"89","강남구",2010-03-30,13
"90","강남구",2010-03-31,13
"91","강남구",2010-04-01,11
"92","강남구",2010-04-02,13
"93","강남구",2010-04-03,10
"94","강남구",2010-04-04,3
"95","강남구",2010-04-05,9
"96","강남구",2010-04-06,14
"97","강남구",2010-04-07,11
"98","강남구",2010-04-08,13
"99","강남구",2010-04-09,8
"100","강남구",2010-04-10,12
"101","강남구",2010-04-11,5
"102","강남구",2010-04-12,12
"103","강남구",2010-04-13,13
"104","강남구",2010-04-14,7
"105","강남구",2010-04-15,11
"106","강남구",2010-04-16,15
"107","강남구",2010-04-17,14
"108","강남구",2010-04-18,6
"109","강남구",2010-04-19,8
"110","강남구",2010-04-20,13
"111","강남구",2010-04-21,14
"112","강남구",2010-04-22,9
"113","강남구",2010-04-23,17
"114","강남구",2010-04-24,10
